symbol,atomic_number,atomic_weight,electronegativity,melting_point,boiling_point,density,discovery_year,category,period,group
H,1,1.008,2.20,14.01,20.28,0.00009,1766,非金属,1,1
He,2,4.003,,0.95,4.22,0.00018,1868,稀有气体,1,18
Li,3,6.941,0.98,453.7,1615,0.534,1817,金属,2,1
Be,4,9.012,1.57,1560,2744,1.848,1798,金属,2,2
B,5,10.81,2.04,2348,4273,2.34,1808,类金属,2,13
C,6,12.01,2.55,3823,4098,2.267,,非金属,2,14
N,7,14.01,3.04,63.05,77.36,0.00125,1772,非金属,2,15
O,8,16.00,3.44,54.36,90.20,0.00143,1774,非金属,2,16
F,9,19.00,3.98,53.53,85.03,0.00170,1886,非金属,2,17
Ne,10,20.18,,24.56,27.07,0.00090,1898,稀有气体,2,18
Na,11,22.99,0.93,370.9,1156,0.971,1807,金属,3,1
Mg,12,24.31,1.31,923,1363,1.738,1808,金属,3,2
Al,13,26.98,1.61,933.5,2792,2.70,1825,金属,3,13
Si,14,28.09,1.90,1687,3538,2.33,1824,类金属,3,14
P,15,30.97,2.19,317.3,553.6,1.823,1669,非金属,3,15
S,16,32.07,2.58,388.4,717.8,2.067,,非金属,3,16
Cl,17,35.45,3.16,171.6,239.1,0.00321,1774,非金属,3,17
Ar,18,39.95,,83.8,87.3,0.00178,1894,稀有气体,3,18
K,19,39.10,0.82,336.7,1032,0.862,1807,金属,4,1
Ca,20,40.08,1.00,1115,1757,1.55,1808,金属,4,2
Fe,26,55.85,1.83,1811,3134,7.874,,金属,4,8
Cu,29,63.55,1.90,1357.8,2835,8.96,,金属,4,11
Zn,30,65.38,1.65,692.7,1180,7.14,,金属,4,12
Br,35,79.90,2.96,265.8,332.0,3.12,1826,非金属,4,17
Kr,36,83.80,3.00,115.8,119.9,0.00375,1898,稀有气体,4,18
Ag,47,107.87,1.93,1234.9,2435,10.49,,金属,5,11
I,53,126.90,2.66,386.7,457.4,4.93,1811,非金属,5,17
Xe,54,131.29,2.60,161.4,165.0,0.00589,1898,稀有气体,5,18
Au,79,196.97,2.54,1337.3,3129,19.32,,金属,6,11
Hg,80,200.59,2.00,234.3,629.9,13.53,,金属,6,12
