Wavelength,Green,Blue,Purple
397.0,98.30,18.94,105.3
401.0,105.0,20.08,109.2
405.0,113.9,21.63,114.3
409.0,125.1,23.61,120.3
413.0,138.6,25.96,127.2
417.0,154.2,28.61,134.6
421.0,171.8,31.46,142.4
425.0,191.0,34.43,150.4
429.0,211.7,37.45,158.3
433.0,233.4,40.42,166.1
437.0,255.9,43.30,173.5
441.0,278.6,46.07,180.6
445.0,301.2,48.74,187.4
449.0,323.3,51.31,193.7
453.0,344.5,53.74,199.5
457.0,364.6,56.00,204.7
461.0,383.2,58.05,209.3
465.0,400.3,59.86,213.1
469.0,415.7,61.41,216.3
473.0,429.5,62.69,218.8
477.0,441.8,63.71,220.6
481.0,452.8,64.47,221.8
485.0,462.6,65.01,222.5
489.0,471.3,65.35,222.6
493.0,479.1,65.49,222.2
497.0,486.1,65.45,221.4
501.0,492.2,65.24,220.1
505.0,497.5,64.88,218.4
509.0,501.9,64.37,216.3
513.0,505.2,63.72,213.8
517.0,507.6,62.94,211.0
521.0,508.8,62.04,207.9
525.0,509.0,61.06,204.5
529.0,508.1,60.00,200.8
533.0,506.2,58.87,197.0
537.0,503.2,57.67,193.0
541.0,499.2,56.41,188.7
545.0,494.3,55.11,184.4
549.0,488.5,53.76,179.9
553.0,481.7,52.38,175.4
557.0,474.1,50.98,170.7
561.0,465.7,49.55,166.0
565.0,456.5,48.11,161.2
569.0,446.7,46.67,156.4
573.0,436.2,45.22,151.6
577.0,425.4,43.78,146.9
581.0,414.2,42.35,142.1
585.0,402.7,40.94,137.4
589.0,391.2,39.56,132.8
593.0,379.6,38.20,128.3
597.0,368.0,36.87,123.8
601.0,356.4,35.58,119.5
605.0,345.0,34.32,115.3
609.0,333.6,33.10,111.2
613.0,322.5,31.91,107.2
617.0,311.5,30.75,103.3
621.0,300.7,29.63,99.52
625.0,290.2,28.54,95.87
629.0,279.9,27.49,92.33
633.0,269.9,26.48,88.92
637.0,260.1,25.50,85.62
641.0,250.7,24.55,82.43
645.0,241.5,23.64,79.36
649.0,232.7,22.76,76.39
653.0,224.1,21.91,73.53
657.0,215.8,21.09,70.77
661.0,207.7,20.30,68.12
665.0,200.0,19.54,65.56
669.0,192.5,18.80,63.09
673.0,185.3,18.09,60.72
677.0,178.3,17.41,58.43
681.0,171.6,16.75,56.23
685.0,165.2,16.12,54.11
689.0,158.9,15.51,52.07
693.0,152.9,14.92,50.11
697.0,147.2,14.36,48.22
701.0,141.6,13.82,46.40
705.0,136.3,13.30,44.65
709.0,131.1,12.77,42.94
713.0,126.1,12.28,41.32
717.0,121.5,11.95,39.92
721.0,117.1,11.86,38.85
725.0,113.0,12.01,38.09
729.0,109.3,12.38,37.60
733.0,105.7,12.82,37.23
737.0,102.2,13.14,36.76
397.0,98.30,18.94,105.3
401.0,105.0,20.08,109.2
405.0,113.9,,114.3
,,25.96,127.2
417.0,154.2,28.61,
449.0,323.3,51.31,193.7
